date,telemedicine,digital health,mental health app,wearable health device,isPartial
2004-01-01,10,3,0,0,False
2004-02-01,10,2,0,0,False
2004-03-01,10,2,0,0,False
2004-04-01,9,1,0,0,False
2004-05-01,9,2,0,0,False
2004-06-01,7,2,0,0,False
2004-07-01,9,2,0,0,False
2004-08-01,8,2,0,0,False
2004-09-01,8,2,0,0,False
2004-10-01,8,2,0,0,False
2004-11-01,7,2,0,0,False
2004-12-01,6,2,0,0,False
2005-01-01,6,2,0,0,False
2005-02-01,8,2,0,0,False
2005-03-01,8,2,0,0,False
2005-04-01,8,2,0,0,False
2005-05-01,6,1,0,0,False
2005-06-01,6,1,0,0,False
2005-07-01,6,2,0,0,False
2005-08-01,6,2,0,0,False
2005-09-01,6,2,0,0,False
2005-10-01,7,2,0,0,False
2005-11-01,7,2,0,0,False
2005-12-01,6,2,0,0,False
2006-01-01,6,2,0,0,False
2006-02-01,6,2,0,0,False
2006-03-01,7,2,0,0,False
2006-04-01,5,1,0,0,False
2006-05-01,6,2,0,0,False
2006-06-01,5,1,0,0,False
2006-07-01,5,2,0,0,False
2006-08-01,5,1,0,0,False
2006-09-01,5,2,0,0,False
2006-10-01,5,2,0,0,False
2006-11-01,5,2,0,0,False
2006-12-01,4,2,0,0,False
2007-01-01,4,2,0,0,False
2007-02-01,4,2,0,0,False
2007-03-01,5,1,0,0,False
2007-04-01,4,2,0,0,False
2007-05-01,4,2,0,0,False
2007-06-01,4,1,0,0,False
2007-07-01,4,2,0,0,False
2007-08-01,4,2,0,0,False
2007-09-01,4,2,0,0,False
2007-10-01,4,2,0,0,False
2007-11-01,4,2,0,0,False
2007-12-01,3,2,0,0,False
2008-01-01,4,2,0,0,False
2008-02-01,4,2,0,0,False
2008-03-01,4,2,0,0,False
2008-04-01,4,2,0,0,False
2008-05-01,3,2,0,0,False
2008-06-01,4,1,0,0,False
2008-07-01,4,1,0,0,False
2008-08-01,3,2,0,0,False
2008-09-01,3,2,0,0,False
2008-10-01,3,2,0,0,False
2008-11-01,3,2,0,0,False
2008-12-01,3,1,0,0,False
2009-01-01,3,2,0,0,False
2009-02-01,4,2,0,0,False
2009-03-01,4,2,0,0,False
2009-04-01,4,2,0,0,False
2009-05-01,3,2,0,0,False
2009-06-01,3,2,0,0,False
2009-07-01,3,2,0,0,False
2009-08-01,3,1,0,0,False
2009-09-01,4,2,0,0,False
2009-10-01,4,2,0,0,False
2009-11-01,3,2,0,0,False
2009-12-01,3,2,0,0,False
2010-01-01,3,2,0,0,False
2010-02-01,4,2,0,0,False
2010-03-01,4,2,0,0,False
2010-04-01,4,2,0,0,False
2010-05-01,4,2,0,0,False
2010-06-01,3,1,0,0,False
2010-07-01,3,1,0,0,False
2010-08-01,3,1,0,0,False
2010-09-01,3,1,0,0,False
2010-10-01,3,1,0,0,False
2010-11-01,3,1,0,0,False
2010-12-01,2,1,0,0,False
2011-01-01,3,2,0,0,False
2011-02-01,3,1,0,0,False
2011-03-01,3,1,0,0,False
2011-04-01,4,1,0,0,False
2011-05-01,3,1,0,0,False
2011-06-01,3,1,0,0,False
2011-07-01,3,1,0,0,False
2011-08-01,3,1,0,0,False
2011-09-01,3,1,0,0,False
2011-10-01,3,1,0,0,False
2011-11-01,3,1,0,0,False
2011-12-01,2,1,0,0,False
2012-01-01,3,1,0,0,False
2012-02-01,3,1,0,0,False
2012-03-01,3,1,0,0,False
2012-04-01,3,1,0,0,False
2012-05-01,3,1,0,0,False
2012-06-01,3,1,0,0,False
2012-07-01,3,1,0,0,False
2012-08-01,3,2,0,0,False
2012-09-01,3,2,0,0,False
2012-10-01,3,2,0,0,False
2012-11-01,3,1,0,0,False
2012-12-01,2,1,0,0,False
2013-01-01,3,2,0,0,False
2013-02-01,3,2,0,0,False
2013-03-01,3,2,0,0,False
2013-04-01,3,2,0,0,False
2013-05-01,3,1,0,0,False
2013-06-01,2,2,0,0,False
2013-07-01,3,1,0,0,False
2013-08-01,3,2,0,0,False
2013-09-01,3,2,0,0,False
2013-10-01,3,2,0,0,False
2013-11-01,3,2,0,0,False
2013-12-01,3,1,0,0,False
2014-01-01,3,2,0,0,False
2014-02-01,3,2,0,0,False
2014-03-01,3,2,0,0,False
2014-04-01,3,2,0,0,False
2014-05-01,3,2,0,0,False
2014-06-01,3,2,0,0,False
2014-07-01,3,2,0,0,False
2014-08-01,3,2,0,0,False
2014-09-01,3,2,0,0,False
2014-10-01,3,2,0,0,False
2014-11-01,3,2,0,0,False
2014-12-01,3,2,0,0,False
2015-01-01,3,2,0,0,False
2015-02-01,3,2,0,0,False
2015-03-01,3,2,0,0,False
2015-04-01,4,2,0,0,False
2015-05-01,3,2,0,0,False
2015-06-01,3,2,0,0,False
2015-07-01,3,2,0,0,False
2015-08-01,3,2,0,0,False
2015-09-01,3,2,0,0,False
2015-10-01,3,2,0,0,False
2015-11-01,3,2,0,0,False
2015-12-01,3,2,0,0,False
2016-01-01,3,3,0,0,False
2016-02-01,4,3,0,0,False
2016-03-01,3,3,0,0,False
2016-04-01,4,3,0,0,False
2016-05-01,3,3,0,0,False
2016-06-01,3,3,0,0,False
2016-07-01,3,3,0,0,False
2016-08-01,3,3,0,0,False
2016-09-01,3,3,0,0,False
2016-10-01,4,3,0,0,False
2016-11-01,4,3,0,0,False
2016-12-01,3,3,0,0,False
2017-01-01,4,3,0,0,False
2017-02-01,4,3,0,0,False
2017-03-01,4,3,0,0,False
2017-04-01,4,3,0,0,False
2017-05-01,4,3,0,0,False
2017-06-01,3,3,0,0,False
2017-07-01,3,3,0,0,False
2017-08-01,3,3,0,0,False
2017-09-01,4,3,0,0,False
2017-10-01,4,4,0,0,False
2017-11-01,4,4,0,0,False
2017-12-01,3,3,0,0,False
2018-01-01,4,4,0,0,False
2018-02-01,4,4,0,0,False
2018-03-01,4,4,0,0,False
2018-04-01,4,3,0,0,False
2018-05-01,4,4,0,0,False
2018-06-01,4,4,0,0,False
2018-07-01,4,4,0,0,False
2018-08-01,4,3,0,0,False
2018-09-01,4,4,0,0,False
2018-10-01,4,4,1,0,False
2018-11-01,5,4,0,0,False
2018-12-01,4,3,0,0,False
2019-01-01,4,4,0,0,False
2019-02-01,5,4,0,0,False
2019-03-01,4,4,0,0,False
2019-04-01,4,4,0,0,False
2019-05-01,4,4,0,0,False
2019-06-01,4,4,0,0,False
2019-07-01,4,4,0,0,False
2019-08-01,4,4,0,0,False
2019-09-01,4,4,1,0,False
2019-10-01,4,4,1,0,False
2019-11-01,4,4,1,0,False
2019-12-01,4,4,0,0,False
2020-01-01,4,4,1,0,False
2020-02-01,4,4,1,0,False
2020-03-01,24,5,1,0,False
2020-04-01,25,4,1,0,False
2020-05-01,17,4,1,0,False
2020-06-01,14,5,1,0,False
2020-07-01,12,5,1,0,False
2020-08-01,10,7,1,0,False
2020-09-01,10,6,1,0,False
2020-10-01,9,4,1,0,False
2020-11-01,8,4,1,0,False
2020-12-01,8,4,1,0,False
2021-01-01,8,4,1,0,False
2021-02-01,8,5,1,0,False
2021-03-01,7,5,1,0,False
2021-04-01,8,5,1,0,False
2021-05-01,8,5,1,0,False
2021-06-01,8,5,1,0,False
2021-07-01,10,5,1,0,False
2021-08-01,8,5,1,0,False
2021-09-01,8,8,1,0,False
2021-10-01,7,9,1,0,False
2021-11-01,7,7,1,0,False
2021-12-01,7,6,1,0,False
2022-01-01,9,8,1,0,False
2022-02-01,10,8,1,0,False
2022-03-01,8,8,1,0,False
2022-04-01,7,8,1,0,False
2022-05-01,6,8,1,0,False
2022-06-01,6,7,1,0,False
2022-07-01,6,7,1,0,False
2022-08-01,6,7,1,0,False
2022-09-01,7,7,1,0,False
2022-10-01,6,7,1,0,False
2022-11-01,7,8,1,0,False
2022-12-01,6,6,1,0,False
2023-01-01,6,7,1,0,False
2023-02-01,7,8,1,0,False
2023-03-01,6,8,1,0,False
2023-04-01,6,7,1,0,False
2023-05-01,6,7,1,0,False
2023-06-01,6,7,1,0,False
2023-07-01,6,7,1,0,False
2023-08-01,6,7,1,0,False
2023-09-01,7,8,1,0,False
2023-10-01,7,8,1,0,False
2023-11-01,6,8,1,0,False
2023-12-01,6,7,1,0,False
2024-01-01,7,8,1,0,False
2024-02-01,8,9,1,0,False
2024-03-01,8,9,1,0,False
2024-04-01,7,8,1,0,False
2024-05-01,7,8,1,0,False
2024-06-01,7,8,1,0,False
2024-07-01,6,9,1,0,False
2024-08-01,7,8,1,0,False
2024-09-01,7,9,1,0,False
2024-10-01,7,9,1,0,False
2024-11-01,8,9,1,0,False
2024-12-01,8,9,1,0,False
2025-01-01,7,10,1,0,False
2025-02-01,8,11,1,0,False
2025-03-01,8,11,1,0,False
2025-04-01,7,11,1,0,False
2025-05-01,7,13,2,0,False
2025-06-01,7,22,3,0,False
2025-07-01,9,26,4,0,False
2025-08-01,22,78,16,1,False
2025-09-01,24,86,25,1,False
2025-10-01,23,85,17,1,False
2025-11-01,24,100,15,1,False
2025-12-01,21,91,15,1,False
2026-01-01,19,77,12,1,False
2026-02-01,10,32,3,0,True
